Handle,Solved,Penalty
lyk248289469,6,861
zkx06111,5,507
zhangqingqi,5,551
zx2018,5,592
Heltion,4,292
Zeround,4,363
ZzZZCHS,4,407
HbFS,4,414
fractal128,4,496
wxx_louisa,4,650
Onlynagesha,4,672
Sky_miner,3,139
zhljJoan,3,167
chty_syq,3,176
Pepcy_Ch,3,206
CuSO45H2O,3,232
233,3,399
sui,3,540
ntwbvdbl_oe,3,588
sj222,2,90
fnoi12bzzhan,2,282
XTXTMTXTX,2,298
Dream4Leo,2,509
2018szb,1,9
1233a,1,11
RegisterLogin,1,17
nessoffice,1,135
lrx903403282,1,160
