zhangqingqi,200.0
233,194.117647059
Heltion,150.857142857
LIN452,146.666666667
sui,142.702702703
SingleLyra,138.947368421
ntwbvdbl_oe,101.538461538
stalin,99.0
zkx06111,96.5853658537
dafu456,94.2857142857
CuSO45H2O,92.0930232558
Onlynagesha,90.0
logining,88.0
Sky_miner,86.0869565217
XTXTMTXTX,84.2553191489
HbFS,82.5
aison,80.8163265306
2018szb,52.8
Zeround,51.7647058824
konicy,50.7692307692
ZzZZCHS,49.8113207547
Dream4Leo,48.8888888889
RegisterLogin,48.0
zx2018,47.1428571429
zhljJoan,46.3157894737
chty_syq,45.5172413793
sj222,44.7457627119
KanuaK,44.0
NCJ,21.6393442623
KasuganoSora6,21.2903225806
fractal128,20.9523809524
katsu,20.625
HFFF,20.3076923077
lrx903403282,20.0
