HbFS,200.0
CuSO45H2O,195.555555556
dafu456,191.304347826
zkx06111,149.787234043
Heltion,146.666666667
shb,143.673469388
2018szb,140.8
stalin,138.039215686
KanuaK,135.384615385
RegisterLogin,132.830188679
LIN452,130.37037037
SingleLyra,128.0
Orion_Rigel,94.2857142857
aison,92.6315789474
sj222,91.0344827586
fnoi12bzzhan,89.4915254237
13678238733,88.0
logining,86.5573770492
sui,85.1612903226
fractal128,83.8095238095
Einsgzy,82.5
Dream4Leo,81.2307692308
Touch233,80.0
zhljJoan,78.8059701493
konicy,51.7647058824
lrx903403282,51.0144927536
NCJ,50.2857142857
STYX_HELIX,49.5774647887
chty_syq,48.8888888889
Zeround,48.2191780822
Hitherto,47.5675675676
Cecilia_384,46.9333333333
_juzi,46.3157894737
nessoffice,45.7142857143
XTXTMTXTX,45.1282051282
katsu,44.5569620253
lovestar,44.0
KasuganoSora6,43.4567901235
3180103727,21.4634146341
hemiao,21.2048192771
drmtw01,20.9523809524
291637165,20.7058823529
mmyyen,20.4651162791
Mu437ZOJ,20.2298850575
Peter_H,20.0
