HbFS,200.0
zhangqingqi,192.592592593
Heltion,185.714285714
Pepcy_Ch,134.482758621
Sky_miner,130.0
sui,125.806451613
Onlynagesha,121.875
SingleLyra,118.181818182
233,114.705882353
Dream4Leo,111.428571429
chty_syq,108.333333333
zhljJoan,105.405405405
ntwbvdbl_oe,68.4210526316
RegisterLogin,66.6666666667
2018szb,65.0
Zeround,63.4146341463
KanuaK,61.9047619048
lovestar,60.4651162791
XTXTMTXTX,29.5454545455
LIN452,28.8888888889
Touch233,28.2608695652
HFFF,27.6595744681
3180103727,27.0833333333
logining,26.5306122449
Orion_Rigel,26.0
wxx_louisa,25.4901960784
13678238733,25.0
