Handle,Solved,Penalty
HbFS,4,365
zhangqingqi,4,396
Heltion,4,485
Pepcy_Ch,3,281
Sky_miner,3,301
sui,3,397
Onlynagesha,3,410
SingleLyra,3,423
233,3,425
Dream4Leo,3,426
chty_syq,3,482
zhljJoan,3,572
ntwbvdbl_oe,2,183
RegisterLogin,2,211
2018szb,2,216
Zeround,2,231
KanuaK,2,249
lovestar,2,349
XTXTMTXTX,1,19
LIN452,1,35
Touch233,1,41
HFFF,1,90
3180103727,1,100
logining,1,118
Orion_Rigel,1,137
wxx_louisa,1,174
13678238733,1,337
