lyk248289469,200.0
zkx06111,160.714285714
zhangqingqi,155.172413793
zx2018,150.0
Heltion,116.129032258
Zeround,112.5
ZzZZCHS,109.090909091
HbFS,105.882352941
fractal128,102.857142857
wxx_louisa,100.0
Onlynagesha,97.2972972973
Sky_miner,71.0526315789
zhljJoan,69.2307692308
chty_syq,67.5
Pepcy_Ch,65.8536585366
CuSO45H2O,64.2857142857
233,62.7906976744
sui,61.3636363636
ntwbvdbl_oe,60.0
sj222,39.1304347826
fnoi12bzzhan,38.2978723404
XTXTMTXTX,37.5
Dream4Leo,36.7346938776
2018szb,18.0
1233a,17.6470588235
RegisterLogin,17.3076923077
nessoffice,16.9811320755
lrx903403282,16.6666666667
