Handle,Solved,Penalty
Heltion,5,470
shb,5,545
Pepcy_Ch,4,253
HbFS,4,404
stalin,4,433
SingleLyra,4,484
RegisterLogin,3,267
13678238733,3,340
Zeround,3,417
dafu456,3,433
ntwbvdbl_oe,3,442
STYX_HELIX,3,470
wxx_louisa,3,560
Dream4Leo,3,627
nessoffice,2,85
sui,2,122
ZzZZCHS,2,124
KanuaK,2,134
sj222,2,137
Touch233,2,195
Einsgzy,2,266
aison,2,275
XTXTMTXTX,2,392
lrx903403282,1,45
fnoi12bzzhan,1,89
lovestar,1,117
