Handle,Solved,Penalty
zhangqingqi,5,480
233,5,773
Heltion,4,424
LIN452,4,458
sui,4,517
SingleLyra,4,564
ntwbvdbl_oe,3,212
stalin,3,240
zkx06111,3,313
dafu456,3,327
CuSO45H2O,3,360
Onlynagesha,3,372
logining,3,401
Sky_miner,3,438
XTXTMTXTX,3,457
HbFS,3,577
aison,3,648
2018szb,2,77
Zeround,2,97
konicy,2,98
ZzZZCHS,2,111
Dream4Leo,2,117
RegisterLogin,2,123
zx2018,2,132
zhljJoan,2,144
chty_syq,2,179
sj222,2,240
KanuaK,2,290
NCJ,1,73
KasuganoSora6,1,100
fractal128,1,129
katsu,1,153
HFFF,1,155
lrx903403282,1,183
